iter	Passed	Remaining
0	0	58
1	1	59
2	1	54
3	2	50
4	2	49
5	3	50
6	3	48
7	4	46
8	4	46
9	5	46
10	5	45
11	6	44
12	6	43
13	7	43
14	7	42
15	7	41
16	8	40
17	8	40
18	9	39
19	9	38
20	10	37
21	10	37
22	10	36
23	11	36
24	11	35
25	12	35
26	12	34
27	13	34
28	13	33
29	14	33
30	14	32
31	15	32
32	15	31
33	16	31
34	16	30
35	16	30
36	17	29
37	17	29
38	18	28
39	18	28
40	19	27
41	19	26
42	19	26
43	20	25
44	20	25
45	21	24
46	21	24
47	21	23
48	22	23
49	22	22
50	23	22
51	23	21
52	23	21
53	24	20
54	24	20
55	24	19
56	25	19
57	25	18
58	26	18
59	26	17
60	26	17
61	27	16
62	27	16
63	28	15
64	28	15
65	28	14
66	29	14
67	29	13
68	29	13
69	30	13
70	30	12
71	31	12
72	31	11
73	32	11
74	32	10
75	33	10
76	33	10
77	34	9
78	34	9
79	35	8
80	35	8
81	36	7
82	36	7
83	37	7
84	37	6
85	38	6
86	38	5
87	39	5
88	39	4
89	40	4
90	40	4
91	41	3
92	41	3
93	42	2
94	42	2
95	43	1
96	43	1
97	44	0
98	44	0
99	45	0
