iter	Passed	Remaining
0	101	101166
1	101	50783
2	102	33985
3	102	25575
4	103	20533
5	103	17166
6	104	14763
7	104	12960
8	104	11558
9	105	10439
10	105	9526
11	106	8762
12	106	8116
13	107	7559
14	107	7075
15	108	6651
16	108	6278
17	109	5949
18	109	5653
19	109	5387
20	110	5145
21	110	4926
22	111	4731
23	111	4548
24	112	4379
25	112	4224
26	113	4080
27	113	3946
28	114	3822
29	114	3706
30	115	3598
31	115	3501
32	116	3407
33	117	3327
34	117	3242
35	118	3162
36	118	3089
37	119	3019
38	119	2951
39	120	2886
40	120	2824
41	121	2766
42	121	2712
43	122	2660
44	122	2609
45	123	2559
46	123	2511
47	124	2466
48	124	2423
49	125	2380
50	125	2340
51	126	2301
52	126	2264
53	127	2227
54	127	2195
55	128	2161
56	128	2128
57	129	2100
58	129	2072
59	130	2043
60	131	2016
61	131	1988
62	131	1961
63	132	1935
64	132	1910
65	133	1886
66	133	1863
67	134	1841
68	134	1820
69	135	1799
70	135	1779
71	136	1758
72	137	1741
73	137	1722
74	138	1703
75	138	1687
76	139	1673
77	140	1657
78	140	1639
79	141	1622
80	141	1605
81	141	1589
82	142	1571
83	142	1555
84	143	1540
85	143	1525
86	143	1511
87	144	1498
88	145	1485
89	145	1471
90	146	1459
91	146	1447
92	147	1434
93	147	1421
94	147	1409
95	148	1397
96	148	1385
97	149	1373
98	149	1362
99	150	1351
100	150	1341
101	151	1330
102	151	1320
103	152	1310
104	152	1300
105	153	1290
106	153	1280
107	153	1271
108	154	1261
109	154	1252
110	155	1243
111	155	1234
112	156	1225
113	156	1217
114	157	1209
115	157	1200
116	157	1191
117	158	1183
118	158	1175
119	159	1167
120	159	1159
121	160	1151
122	160	1144
123	160	1136
124	161	1129
125	162	1124
126	162	1116
127	162	1109
128	163	1102
129	163	1095
130	164	1089
131	164	1082
132	165	1075
133	165	1069
134	165	1062
135	166	1056
136	166	1051
137	167	1045
138	167	1039
139	168	1034
140	168	1029
141	169	1022
142	169	1016
143	170	1010
144	170	1005
145	170	999
146	171	994
147	171	988
148	172	986
149	173	981
150	173	976
151	174	971
152	174	966
153	174	961
154	175	956
155	175	951
156	176	946
157	176	941
158	177	936
159	177	931
160	177	926
161	178	921
162	178	917
163	179	912
164	179	908
165	179	903
166	180	899
167	180	894
168	181	890
169	181	886
170	181	882
171	182	878
172	182	873
173	183	869
174	183	866
175	184	863
176	184	859
177	185	855
178	185	852
179	186	849
180	186	845
181	187	841
182	187	839
183	188	835
184	189	832
185	189	829
186	190	826
187	190	823
188	191	819
189	191	816
